protein,diff,p,q
REG1A,-0.4585405303030302,0.007553541888652616,0.030538040028397783
REG1B,-0.4964835497835496,0.00993839554373497,0.03822359233465436
REG3A,-0.5896197510822514,0.00040347414055083076,0.00254720283548613
REG3G,-0.3450119588744589,0.03941536306565961,0.10351402177980507
REG4,-0.10468165584415601,0.510349047054832,0.6337086935179583
RELB,-0.3954983225108226,0.0007457570927254247,0.004359695964072832
RELT,-0.14967175324675328,0.013285020480595256,0.046449898163612356
REN,0.09785649350649352,0.31414953249445055,0.457300340379123
REPS1,0.02567835497835505,0.8087163030849599,0.8745385697067473
REST,-0.27182786796536784,0.01603653560491927,0.05326681087861252
RET,0.11733685064935068,0.14993720333884344,0.27137241198726897
RETN,-0.11394437229437229,0.15480426857962448,0.2774327878959181
REXO2,-0.25908760822510823,0.026336582608908192,0.07729099494562112
RFC4,-0.14444853896103882,0.010695812378074475,0.040288478841638775
RGCC,1.4820911796536798,6.9343372933338825e-12,1.9489488373475904e-10
RGL2,0.08891444805194837,0.5324188901098932,0.6522466118152631
RGMA,-0.1359478354978355,0.07241402374998926,0.16170068099405546
RGMB,-0.23560952380952405,0.0006386385017363256,0.00380191515392114
RGS10,1.127809902597402,1.1806913007730469e-11,2.9751385104824275e-10
RGS8,-0.1744199134199127,0.3611805450974275,0.5029684294043737
RHOC,1.8361429112554115,2.6713274281679462e-11,6.100226619167896e-10
RICTOR,-0.2391825757575757,0.025766306162327602,0.07623153401613265
RIDA,-0.035033982683983056,0.5380108904868224,0.657718876157667
RILP,0.5511130411255403,8.249816852306129e-05,0.0005983676094116828
RILPL2,1.5938392857142858,1.2003428014780242e-12,5.569209537651214e-11
RIPK4,-0.32405530303030305,0.09342742580051744,0.19258699972842908
RLN1,-0.4637660714285712,0.005548579968276149,0.023676641236892237
RLN2,-0.3436583333333325,0.36566474093493195,0.5067985005940284
RNASE1,-0.14856028138528143,0.10563462048510175,0.2084875055219125
RNASE10,-0.01329301948051949,0.9762828489184295,0.9867478448784818
RNASE3,0.28682992424242415,0.22287979638857502,0.3597336525918304
RNASE4,-0.07269686147186155,0.1338186027803898,0.24914125855227987
RNASE6,-0.11303560606060614,0.04365863973475036,0.11204056535967981
RNASEH2A,0.16423787878787877,0.002602469733452512,0.012849694308921777
RNASET2,-0.13858425324675322,0.011504128734735776,0.04182408991496601
RNF149,-0.09577554112554107,0.15979040242195397,0.28410422523076123
RNF168,-0.0984140692640692,0.171450120698735,0.30099021189333475
RNF31,-0.13746001082251091,0.1038169889388071,0.20573359909703942
RNF4,-0.23036147186147182,0.05330864109064339,0.12995926431021737
RNF41,0.10521628787878787,0.06781358530185427,0.15413616628096427
RNF43,-0.06316185064935076,0.9424427302245387,0.9628661658323407
RNF5,0.2738080627705629,0.0024605288309563233,0.012315283857680366
ROBO1,-0.12960757575757575,0.020632222274323615,0.06463878425278449
ROBO2,-0.14748181818181816,0.020171006131519755,0.06367322135923167
ROBO4,-0.11910081168831171,0.005405430298727538,0.023201281590573556
ROR1,-0.11667299783549787,0.10025633385690731,0.20017026220200823
RP2,0.2517936147186147,0.0002471180225587615,0.0016417500241122682
RPA2,-0.0821557359307359,0.30605191565420764,0.4486407971199844
RPE,0.12795649350649363,0.04365863973475036,0.11204056535967981
RPGR,-0.22471845238095237,0.010959456807464239,0.04065290894443905
RPL14,0.21568354978354978,0.024121479247361213,0.07246360106889704
RPS10,-0.17400622294372298,0.03552747166298082,0.09651189560491909
RRAS,0.7603770021645022,4.159928427703708e-05,0.00031747965520046833
RRM2,-0.35532987012986983,0.06107481628675527,0.14281735040494853
RRM2B,0.2940975649350649,0.005265623464192284,0.02276836891395569
RRP15,-0.29039058441558446,0.11510435723491985,0.22340639853762997
RSPO1,-0.017804761904762212,0.9762828489184295,0.9867478448784818
RSPO3,-0.05457380952380969,0.4370337230234913,0.5718216528190085
RTBDN,-0.0687216991341991,0.2568092292616898,0.3965416677928787
RTKN2,0.07458722943722947,0.1951983876996347,0.32715876562272495
RTN4IP1,1.21540670995671,2.5436891937440588e-09,3.574617073708598e-08
RTN4R,-0.059294751082251074,0.56640564535146,0.6832867112514723
RUVBL1,-0.5921473484848485,0.004259559915115352,0.01915491327981873
RWDD1,1.0917067640692644,1.9589049373537733e-12,7.534051489322472e-11
RYR1,-0.17393387445887448,0.054364844116844196,0.13165570783225813
S100A11,-0.08992088744588789,0.03552747166298082,0.09651189560491909
S100A12,0.2813375541125551,0.17278601716839426,0.30242726238515955
S100A13,-0.06384669913419905,0.2133565915857203,0.34918326831190394
S100A14,-0.27851255411255416,0.05226963311979686,0.12806717318454838
S100A16,-0.3908478896103891,0.007553541888652616,0.030538040028397783
S100A3,-0.19312987012987012,0.006156011466674422,0.025779400454282713
S100A4,0.5364414502164498,7.962742577553632e-05,0.0005789825013479917
S100G,-0.3716577380952381,0.013604432957995736,0.04739661208131291
S100P,0.0960705086580087,0.4941162142860759,0.6214723297582615
SAA4,-0.04160979437229438,0.08312983144043273,0.17840565146871137
SAFB2,-0.07923414502164502,0.12839693020192947,0.24166402252430125
SAG,-0.1081568181818181,0.24283037070150637,0.38160923309704464
SAMD9L,0.7037733766233767,3.7423147536596297e-10,6.250734871398341e-09
SAP18,-0.33682510822510814,0.020632222274323615,0.06463878425278449
SARG,1.556641883116883,3.812246436562468e-12,1.2523066330500276e-10
SART1,0.05418533549783544,0.8351462519765688,0.8922267889354936
SAT1,-0.10952922077922078,0.07377403471094729,0.163736904677372
SAT2,-0.2836383658008659,0.03941536306565961,0.10351402177980507
SATB1,-0.05662429653679654,0.3724538351656246,0.51450026473966
SBSN,-0.18637261904761904,0.0347904705633877,0.09530697793512864
SCAMP3,0.6779566558441558,1.2203814620010572e-09,1.8482772090306167e-08
SCARA5,-0.08350140692640695,0.3701814890108188,0.5116058845484972
SCARB1,-0.3680372835497836,0.07377403471094729,0.163736904677372
SCARB2,-0.17390465367965371,0.024659545062765322,0.07340106946890329
SCARF1,0.017065530303030325,0.9966113466412806,0.9972937234619867
SCARF2,-0.16607862554112568,0.018000279361300168,0.0581379188652822
SCG2,-0.15390806277056285,0.11608538762689326,0.22516097414293895
SCG3,-0.23618203463203463,0.01603653560491927,0.05326681087861252
SCGB1A1,-0.2437938852813853,0.08855477636169766,0.18595230697215678
SCGB2A2,-0.11284009740259748,0.007553541888652616,0.030538040028397783
SCGB3A1,-0.05678333333333331,0.5436322184092088,0.6632040794699989
SCGB3A2,-0.15185660173160165,0.3747368378685546,0.5164336525647266
SCGN,-0.30417602813852807,0.010437822495165797,0.03977803800960838
SCIN,0.03752721861471857,0.4781637613617501,0.6082126520715385
SCLY,-0.08447559523809525,0.5324188901098932,0.6522466118152631
SCN2A,-0.11740795454545438,0.18095385629771277,0.3118679964376264
SCN2B,-0.2663637445887447,0.0007120243552242201,0.004170836052746283
SCN3A,-0.06298230519480516,0.08697683507511222,0.184093619786063
SCN3B,-0.014975162337662357,0.8219060114431775,0.8838967150288477
SCN4B,-0.10738609307359301,0.2293953153373186,0.366005735115165
SCP2,-0.1826103354978354,0.7500833253020773,0.8276683880173544
SCPEP1,0.4107963744588742,0.0010585543133985163,0.005838026902007289
SCRG1,0.06892364718614713,0.28834033871412557,0.43267447330843767
SCRIB,-0.9584454004329006,0.16232857110913013,0.28739334545850237
SCRN1,0.8614908008658011,3.54367420633417e-10,6.022185875066732e-09
SCT,-0.08029502164502164,0.5955002115928472,0.7075801294658098
SDC1,-0.16223079004329005,0.08542166818902228,0.18172309761027083
SDC4,1.0934369588744604,3.951137059070084e-10,6.489406983392431e-09
SDCCAG8,0.20674583333333318,0.04191715494780382,0.10852421958585524
SDHB,0.22108403679653676,0.018000279361300168,0.0581379188652822
SDK2,-0.13818095238095232,0.27133712314825253,0.41222370632138366
SEC31A,0.7751429653679653,4.388471356160572e-08,4.822369087991485e-07
SEL1L,-0.21794437229437225,0.0009669669263518644,0.005425037093524952
SELE,-0.14460616883116884,0.3307637157371567,0.47486362529455256
SELENOP,-0.08607819264069269,0.1951983876996347,0.32715876562272495
SELL,-0.20138295454545455,0.00599878531066667,0.025193174515917637
SELP,0.30907489177489184,0.00015959973825095734,0.0011054740163685978
SELPLG,0.01299150432900431,0.8219060114431775,0.8838967150288477
SEMA3F,-0.09068262987012983,0.14285662937606336,0.26179932769042835
SEMA3G,-0.19639989177489175,0.006999184592573354,0.02881495290717171
SEMA4C,-0.05082824675324682,0.48344975363490605,0.6125373341460036
SEMA4D,-0.13577635281385284,0.09342742580051744,0.19258699972842908
SEMA6C,-0.1602860930735931,0.03861011284257504,0.1021333573202234
SEMA7A,-0.1870883658008658,0.006156011466674422,0.025779400454282713
SEPTIN3,-0.3123513528138528,0.059911063969961785,0.14122583869693411
SEPTIN7,-0.19660811688311694,0.6252581203826834,0.7301755836510521
SEPTIN8,0.05660595238095234,0.4172574595163224,0.5543834337119138
SEPTIN9,0.0992700216450216,0.008781741799887367,0.03454782137425407
SERPINA1,-0.1353683441558442,8.530006003992537e-08,9.066620927152794e-07
SERPINA11,-0.19811439393939392,0.08089063243161297,0.1741114275387369
SERPINA12,-0.07690248917748832,0.37932461003532403,0.5203030666979127
SERPINA3,-0.16078149350649357,0.0010271692746994473,0.005697183662137542
SERPINA4,-0.14613993506493506,0.06845669882557134,0.1551154501295698
SERPINA5,-0.13187348484848485,0.35673099453946366,0.498672738899499
SERPINA6,-0.11978414502164506,0.0215811808036836,0.06682393166225335
SERPINA7,-0.17981812770562772,0.005405430298727538,0.023201281590573556
SERPINA9,-0.18583149350649353,0.22287979638857502,0.3597336525918304
SERPINB1,0.6324945346320346,2.0459882249334748e-10,3.785078216126928e-09
SERPINB5,-0.07943506493506503,0.31008327000867275,0.45318669911767523
SERPINB6,0.31574567099567097,4.592790472012819e-06,3.9139144459747725e-05
SERPINB8,0.030672673160173303,0.9289322965480106,0.9557441403765697
SERPINB9,0.38959150432900436,1.9222121224222175e-08,2.3121917834733093e-07
SERPINC1,-0.11798798701298704,0.013285020480595256,0.046449898163612356
SERPIND1,0.08497786796536795,0.5808660438129509,0.6967055585003101
SERPINE1,1.347391125541125,1.1714782891626718e-08,1.5018557189572323e-07
SERPINE2,0.641998971861472,2.018989615475478e-08,2.408778222871356e-07
SERPINF1,-0.026105573593073583,0.35673099453946366,0.498672738899499
SERPINF2,-0.08644015151515153,0.0370406894956771,0.09942358925677709
SERPING1,-0.12415963203463201,0.0347904705633877,0.09530697793512864
SERPINH1,1.8072449134199133,2.292261326443537e-09,3.284450910389441e-08
SERPINI1,-0.12224085497835496,0.412397091054609,0.550176493451676
SERPINI2,-0.20661953463203464,0.15235594365292643,0.27422193552801966
SESTD1,-0.1484416666666667,0.8417841854281243,0.8953912569164509
SETMAR,-0.0327694264069264,0.4887673037871233,0.6174013954061198
SEZ6,-0.12101985930735926,0.10202429828522597,0.20300682361314876
SEZ6L,-0.21607348484848482,0.0009099546612550144,0.005195441951191214
SEZ6L2,-0.08838933982683977,0.16749599485081068,0.29457929780320075
SF3B4,1.210947997835498,1.1090641579630524e-10,2.1611963558173346e-09
SFRP1,-0.3702569264069264,0.001601799048249817,0.008406237315522336
SFRP4,0.04604540043290048,0.7117593852512301,0.7983394793128724
SFTPA1,-0.31998863636363617,0.05543844930483066,0.1335915806414015
SFTPA2,-0.0078119588744588655,0.9087062036483103,0.9439048447988668
SFTPD,0.14126477272727272,0.4270788882352503,0.5628275880575458
SGSH,0.017825703463203432,0.7694861237542385,0.8442972746747895
SH2B3,0.2693397727272724,0.012666022106130628,0.044821770721815764
SH2D1A,0.2940563311688313,0.004493240649374663,0.020051515142171208
SH3BGRL2,-0.11763863636363625,0.9255574172719444,0.9542872418645126
SH3BP1,0.37291109307359316,0.00026405887713887153,0.0017383876078309042
SH3GL3,-0.17108739177489152,0.48344975363490605,0.6125373341460036
SH3GLB2,0.47251726190476084,0.04685234850569221,0.11826374324882412
SHBG,-0.472501785714286,0.0005546773680663811,0.003377754055954233
SHC1,-0.4575195346320348,0.01178536956179584,0.0424767388768548
SHD,-0.26371293290043296,0.02206974982059847,0.06783373157267017
SHH,-0.04590795454545457,0.3392801819297282,0.48211763334010477
SHISA5,-0.1219300865800865,0.18373920080264938,0.3155521057262891
SHMT1,0.8288379329004328,4.783089715625164e-06,4.064235825224521e-05
SHPK,-0.2392617424242424,0.001960797978742443,0.010108311273129032
SIAE,0.2516612554112555,4.009926708131179e-05,0.00030844778336493254
SIGLEC1,-0.2650160173160173,0.010959456807464239,0.04065290894443905
SIGLEC10,-0.18793571428571426,0.010437822495165797,0.03977803800960838
SIGLEC15,-0.19942619047619048,0.004995766587374946,0.021958835691574387
SIGLEC5,0.26365097402597404,0.3956500751794134,0.535162040605935
SIGLEC6,-0.1496122835497836,0.020171537112093237,0.06367322135923167
