feature,layer,diff_high_minus_low,p,q
GOPC,proteomics,1.4280863095238097,3.997285044511306e-11,8.71945088440787e-10
SLA2,proteomics,1.7465084415584409,3.997285044511306e-11,8.71945088440787e-10
STXBP1,proteomics,1.5220303571428575,4.745925125720962e-11,1.0200249369472331e-09
TBCA,proteomics,1.2391485930735933,4.745925125720962e-11,1.0200249369472331e-09
CIAPIN1,proteomics,0.8448119047619046,4.8824557791822745e-11,1.0417093607700575e-09
PDLIM5,proteomics,0.8930432900432902,5.02471474139293e-11,1.056636056769175e-09
PF4,proteomics,1.3347575216450211,5.02471474139293e-11,1.056636056769175e-09
EIF2AK2,proteomics,0.7923353354978349,5.631192716007094e-11,1.1673742063041655e-09
MITD1,proteomics,1.3674475108225108,5.631192716007094e-11,1.1673742063041655e-09
PDAP1,proteomics,1.673051244588744,5.960721668684731e-11,1.22698517165954e-09
CNPY4,proteomics,0.7123126623376623,7.912811134604826e-11,1.6174228633881054e-09
TMEM106A,proteomics,1.0631287337662336,8.372306912011821e-11,1.699462021097955e-09
PRDX5,proteomics,1.3138711580086582,8.857859767883928e-11,1.7733920617482687e-09
ENO2,proteomics,0.8396332792207788,8.857859767883928e-11,1.7733920617482687e-09
FLI1,proteomics,1.067120779220779,9.370910328820553e-11,1.863344958581121e-09
ARF6,proteomics,1.967234794372294,1.0485658646155084e-10,2.057018806893377e-09
MSRA,proteomics,0.7704756493506493,1.0485658646155084e-10,2.057018806893377e-09
SF3B4,proteomics,1.210947997835498,1.1090641579630523e-10,2.161196355817334e-09
HNRNPK,proteomics,1.2054022727272726,1.2404708521828435e-10,2.4012558284307634e-09
PLXNA4,proteomics,0.6402140151515152,1.311763389616547e-10,2.52255551832182e-09
HSPA1A,proteomics,0.6046102813852814,1.5505234210959943e-10,2.942973999911423e-09
NUMB,proteomics,0.9574780844155844,1.5505234210959943e-10,2.942973999911423e-09
RAD23B,proteomics,0.7837602813852815,1.6391723159011266e-10,3.0911617286316087e-09
MED18,proteomics,0.6948037878787879,1.9358846977762328e-10,3.6041980710827566e-09
CRADD,proteomics,1.0656774891774896,1.9358846977762328e-10,3.6041980710827566e-09
SERPINB1,proteomics,0.6324945346320346,2.0459882249334748e-10,3.785078216126928e-09
NFU1,proteomics,1.6829606060606055,2.1622012678441128e-10,3.9500714411927154e-09
ANXA4,proteomics,0.7092939393939394,2.1622012678441128e-10,3.9500714411927154e-09
TIA1,proteomics,1.508656060606061,2.2848539867124476e-10,4.122610001950916e-09
AXIN1,proteomics,0.6941512445887448,2.2848539867124476e-10,4.122610001950916e-09
MPI,proteomics,0.9292351731601732,2.414293881851969e-10,4.3030372052764065e-09
SUSD1,proteomics,0.8590995670995671,2.414293881851969e-10,4.3030372052764065e-09
BDNF,proteomics,2.192286309523809,2.6950172436409496e-10,4.7455032549171665e-09
NDUFB7,proteomics,0.7260430735930737,2.6950172436409496e-10,4.7455032549171665e-09
ATOX1,proteomics,1.0058123376623378,2.8470905769524924e-10,4.983260931995291e-09
ENO1,proteomics,0.9962931818181816,3.00753281126928e-10,5.232749051988158e-09
FHIT,proteomics,1.172572023809524,3.3553406948098745e-10,5.735474181829979e-09
PCYT2,proteomics,1.024290638528139,3.3553406948098745e-10,5.735474181829979e-09
CACNB3,proteomics,1.2108160173160174,3.3553406948098745e-10,5.735474181829979e-09
SCRN1,proteomics,0.8614908008658011,3.54367420633417e-10,6.022185875066732e-09
ANGPT1,proteomics,1.1917349025974024,3.7423147536596297e-10,6.250734871398341e-09
SAMD9L,proteomics,0.7037733766233767,3.7423147536596297e-10,6.250734871398341e-09
MAP2K6,proteomics,0.830754274891775,3.7423147536596297e-10,6.250734871398341e-09
HS1BP3,proteomics,0.8880771645021646,3.951811300184238e-10,6.489406983392431e-09
SDC4,proteomics,1.0934369588744604,3.9511370590700836e-10,6.489406983392431e-09
DNAJC6,proteomics,1.1839500541125547,3.951811300184238e-10,6.489406983392431e-09
ELAC1,proteomics,1.3298338203463205,4.1727412017053155e-10,6.813923202561251e-09
GGACT,proteomics,0.664592478354978,4.6513610570997954e-10,7.553293538834835e-09
PPP2R5A,proteomics,1.5102996212121214,4.910360831759881e-10,7.886255335842931e-09
FKBP14,proteomics,1.1762898268398263,4.910360831759881e-10,7.886255335842931e-09
PHACTR2,proteomics,1.1573729978354974,5.183416804293655e-10,8.234308325516497e-09
CMC1,proteomics,0.6355570346320348,5.183416804293655e-10,8.234308325516497e-09
CETN3,proteomics,0.9767226190476188,5.77470366955029e-10,9.074977863492205e-09
NRGN,proteomics,0.943497943722944,5.77470366955029e-10,9.074977863492205e-09
DBI,proteomics,0.6814119588744589,6.094534670498169e-10,9.526376920784036e-09
ACOT13,proteomics,1.738481493506493,6.78688335141288e-10,1.0552159593712685e-08
SUGT1,proteomics,0.9874854437229432,7.161258857238567e-10,1.107532256069224e-08
PDE5A,proteomics,0.7484588744588743,7.555752838137362e-10,1.1623929234671324e-08
STXBP3,proteomics,0.7258286255411258,7.971416444931327e-10,1.2199188622269248e-08
CDC37,proteomics,0.7183770562770564,1.0407947843478452e-09,1.5845016430462252e-08
SCAMP3,proteomics,0.6779566558441558,1.220381462001057e-09,1.8482772090306167e-08
LAT2,proteomics,0.7738087662337663,1.286701772051295e-09,1.9386748864463584e-08
FAM172A,proteomics,0.530409145021645,1.3565306118798692e-09,2.0334046043717217e-08
SPART,proteomics,0.5817739177489176,1.4300482880539071e-09,2.132668952031413e-08
HGS,proteomics,1.208245779220779,1.58891670107242e-09,2.3338711141882835e-08
GADD45GIP1,proteomics,0.6285939393939394,1.58891670107242e-09,2.3338711141882835e-08
FABP5,proteomics,0.7277115800865801,1.58891670107242e-09,2.3338711141882835e-08
FXYD5,proteomics,0.7406974025974025,1.8599332069717766e-09,2.7182923819892524e-08
GYS1,proteomics,0.8813523809523802,1.959904525378299e-09,2.8501497152640642e-08
MAX,proteomics,1.699725811688312,2.065103867682225e-09,2.988266636255022e-08
SPRY2,proteomics,1.3305718073593071,2.292261326443537e-09,3.2844509103894414e-08
SERPINH1,proteomics,1.8072449134199131,2.292261326443537e-09,3.2844509103894414e-08
LATS1,proteomics,1.2768174242424246,2.4147900289983133e-09,3.4264229392048894e-08
TREML1,proteomics,0.7039564935064937,2.4144143430380806e-09,3.4264229392048894e-08
RTN4IP1,proteomics,1.21540670995671,2.5436891937440588e-09,3.574617073708598e-08
MTSS1,proteomics,1.2586714826839829,2.5436891937440588e-09,3.574617073708598e-08
DCTN2,proteomics,1.2068174242424246,2.97190295550045e-09,4.1563982482908215e-08
SULT1A1,proteomics,1.230341396103896,3.129658936873486e-09,4.3561871773720014e-08
HHEX,proteomics,0.7876586038961036,3.295557044471788e-09,4.565361725588169e-08
PPP1R14A,proteomics,1.1568608766233766,3.470004924173889e-09,4.784351128943528e-08
TBC1D23,proteomics,0.8583571969696968,3.653429964941182e-09,5.01360365611412e-08
NFE2,proteomics,0.581944264069264,4.049025373362848e-09,5.5047912401579554e-08
