feature,layer,diff_high_minus_low,p,q
LBR,proteomics,0.5358484848484848,4.049025373362848e-09,5.5047912401579554e-08
DXO,proteomics,0.6635409632034632,4.2621577393969344e-09,5.767725496415388e-08
IL7,proteomics,0.8052748917748918,4.969163201882666e-09,6.632358008722846e-08
MYDGF,proteomics,1.073452922077922,4.969163201882666e-09,6.632358008722846e-08
ZFYVE19,proteomics,1.2246491883116877,4.969163201882666e-09,6.632358008722846e-08
USO1,proteomics,1.3800987554112556,5.229258062074915e-09,6.947782416111353e-08
DUT,proteomics,1.0141685606060598,5.502579706873867e-09,7.27784637248521e-08
GORASP2,proteomics,0.4605756493506491,6.741646648516179e-09,8.876501420546303e-08
METAP2,proteomics,0.8819818722943723,7.091523564862735e-09,9.295301964167612e-08
MAPKAPK2,proteomics,0.6831742424242424,8.676178574155544e-09,1.1321638380471723e-07
ARHGAP1,proteomics,0.6001866883116882,9.592676111452969e-09,1.246195212167868e-07
NARS1,proteomics,0.6330752705627707,1.0085551377739957e-08,1.3044277290767208e-07
PLPBP,proteomics,0.7662275432900434,1.0601486094918528e-08,1.3651164694029454e-07
SERPINE1,proteomics,1.347391125541125,1.1714782891626718e-08,1.5018557189572326e-07
YWHAQ,proteomics,0.686247673160173,1.2314986050377277e-08,1.5719084814520866e-07
VPS53,proteomics,0.3587901515151515,1.3602476477011516e-08,1.713794773375201e-07
FOXO1,proteomics,0.6046313311688312,1.3602476477011516e-08,1.713794773375201e-07
MIF,proteomics,0.931572294372294,1.3602476477011516e-08,1.713794773375201e-07
UBXN1,proteomics,0.7017791666666666,1.5020348602806948e-08,1.884312401974451e-07
GPI,proteomics,0.5217246212121212,1.5782117423840592e-08,1.963026775739832e-07
CEP170,proteomics,0.5114712662337662,1.5782117423840592e-08,1.963026775739832e-07
SPARC,proteomics,0.8317097943722942,1.6993209930380055e-08,2.104709857055123e-07
GMPR2,proteomics,0.8877899350649352,1.7419844944099554e-08,2.139420452588361e-07
OTUD7B,proteomics,0.5119753246753248,1.7419844944099554e-08,2.139420452588361e-07
MECR,proteomics,1.1018509740259743,1.8299450371763705e-08,2.2194727567081043e-07
IPCEF1,proteomics,0.8758584956709958,1.8296910588336184e-08,2.2194727567081043e-07
FIS1,proteomics,0.798048647186147,1.8299450371763705e-08,2.2194727567081043e-07
SERPINB9,proteomics,0.3895915043290043,1.922212122422217e-08,2.3121917834733093e-07
STK11,proteomics,0.6172099567099565,1.922212122422217e-08,2.3121917834733093e-07
NUDT5,proteomics,0.5078229978354979,2.0189896154754783e-08,2.408778222871356e-07
SERPINE2,proteomics,0.641998971861472,2.0189896154754783e-08,2.408778222871356e-07
VAV3,proteomics,0.7369324134199134,2.12049068073632e-08,2.519591162517181e-07
CXCL5,proteomics,1.9902721861471864,2.2269381886400148e-08,2.6353604556254104e-07
ESYT2,proteomics,0.7007936147186149,2.2817767020875122e-08,2.689368266210403e-07
NOTCH1,proteomics,-0.191851028138528,2.396069348838793e-08,2.812735223556544e-07
ABHD14B,proteomics,0.6925391774891774,2.4556151056997e-08,2.871105181584089e-07
GGCT,proteomics,0.6297583874458874,2.578342690541152e-08,3.0025879220923453e-07
CORO1A,proteomics,1.0542602272727273,2.8419071833386453e-08,3.296386784483675e-07
BANK1,proteomics,0.8685864177489178,2.9829108777459563e-08,3.4462642275302095e-07
PCBP2,proteomics,0.6426623917748919,3.131534786056228e-08,3.575576632672795e-07
