COCOMO_ID,endotype,YARS1,GCC1,MTDH,SKAP2,DBNL,SNAP23,PTPN6,DNAJB6,PLA2G4A,CRKL,PMVK,LAT,HCLS1,CASP3,IRAK4,SNAP29,RAB27B,CLIP2,FYB1,MPIG6B,PPP1R12A,EBAG9,DAPP1,DAB2,CDC26,MESD,BCL2L1,EGF,PLCB2,DNAJA2,GRAP2,IST1,ERP29,PPP1R9B,NEXN,SRC,MGLL,NCK2,PRKG1,CD69
1207,0,6.6123,1.5055,2.9464,0.8523000000000001,1.6459,0.4258,2.1447000000000003,2.1133,1.5924,1.6262999999999999,5.6786,2.8423000000000003,0.17650000000000005,2.1336000000000004,1.6000999999999999,2.9122000000000003,2.3048,2.3238000000000003,1.5106,1.4524,1.6979,1.411,4.0736,3.3901000000000003,2.0219,2.2589,3.1338000000000004,-1.2583,1.6193,2.7554000000000003,2.9025000000000003,3.9734,3.0313000000000003,-0.03989999999999999,2.0687,2.0219,2.1084,2.1658000000000004,3.0445,0.10220000000000001
1210,0,5.6919,1.5753,2.5379,0.9454,1.7574999999999998,0.13219999999999998,2.0478,2.1876,1.2008,1.8073000000000001,4.1957,2.5799,0.25060000000000004,1.8014000000000001,1.7208,2.6706,1.9529999999999998,1.599,1.0708,1.4026,1.4573,1.6062,3.8412,2.5447,1.3175000000000001,2.1929,2.9008,-1.3239,1.17,2.8547,2.0307,3.6264,2.2003,0.3265,1.6369,1.5632,1.3565,1.2129,1.4855,-0.28859999999999997
1214,0,4.7703999999999995,1.2961,1.3376,0.26620000000000005,1.7261999999999997,0.3019,1.6066,1.7341,1.3004,1.8017,4.0855,1.8882999999999999,-0.030200000000000005,1.9361,1.5446,2.7482,1.9225,0.5574000000000001,0.8528,1.0363,1.3624,1.4301,3.2374,2.5664000000000002,1.4598,1.9033999999999998,2.9655,-1.5109000000000001,0.8833,2.2701000000000002,1.9507,3.5292000000000003,1.828,0.2537,1.5589,1.3037999999999998,1.3844999999999998,1.4492,1.7611,0.5188999999999999
1218,1,0.655,-0.5058,-0.4122,-1.6761000000000001,-1.1061,-1.8868,-1.3325,0.0252,-0.6214999999999999,-0.1423,-0.1652,-1.2086000000000001,-1.1187,-0.0718,-0.231,-0.18430000000000002,-1.4238,-1.1041,-0.9959,-0.6676,-0.6019,-0.19140000000000001,-0.6778,0.1496,-0.2781,0.019799999999999998,0.2646,-2.6140999999999996,-0.8513,0.5522,-0.8286,0.8293999999999999,0.47659999999999997,-1.0727,-0.5616,0.1659,-0.8634999999999999,-0.519,-1.5349000000000002,-1.2259
1220,1,0.9565999999999999,-1.0366,-1.1476,-1.8311,-0.5694,-2.0015,-1.4862,-0.046200000000000005,-0.2003,-0.09630000000000001,0.06969999999999998,-1.0086,-1.3985,-0.1815,-0.2469,0.12080000000000002,-1.1476,-1.3704,-1.1499000000000001,-0.8151,-0.3191,0.0194,0.8981999999999999,0.18,-0.0032000000000000084,0.374,0.14350000000000002,-3.2709,-2.5007,0.07449999999999998,-0.6029,0.015100000000000002,-0.4711,-1.084,-0.11200000000000002,-0.8275,-0.7733,-0.3911,-1.0135,-1.2797
1225,1,1.5526,-0.2733,-0.22039999999999998,-0.8666,-0.6668000000000001,-1.7518,0.1851,0.5582,0.35640000000000005,0.175,0.3952,0.2913,-1.1766,0.63,-0.5621,0.9291,0.21400000000000002,0.5231,-0.31989999999999996,-0.0542,0.37550000000000006,-0.307,0.9581,1.1917,0.6973,0.6639,0.7042,-2.4885,-0.7413,0.497,0.7289,1.1692,0.8776999999999999,-1.2316,0.5214,0.3052,-0.1709,0.39490000000000003,0.29390000000000005,-0.8079
1228,1,2.0660000000000003,-0.8813,-0.5435,-1.5505,-0.5935,-1.9172,-0.8891,-0.0401,-0.0613,-0.2218,0.8354,-0.606,-1.4358000000000002,-0.1498,-0.3977,0.2793,-0.9077999999999999,-0.4633,-1.1844000000000001,-0.3461,-0.298,0.0631,0.2368,0.46509999999999996,0.1804,-0.047299999999999995,0.5595,-3.3893,-1.0493000000000001,0.5115000000000001,-0.591,0.6677,0.22920000000000001,-1.3492000000000002,-0.3951,-0.1499,-0.792,-0.3822,-0.6837,-1.1722000000000001
1253,0,5.366099999999999,1.2886,2.0667999999999997,1.0099,1.2923,0.19469999999999998,1.3173,1.7487000000000001,1.0159,1.6379,4.2588,1.8937000000000002,-0.09670000000000001,1.8625,1.5392,1.9395,1.7032,1.9503000000000001,1.6738,1.4102999999999999,2.0462999999999996,1.4862,4.0626,2.5967000000000002,1.3442,1.9261000000000001,2.1845,-1.6663000000000001,1.0622,2.104,2.5443999999999996,2.8558000000000003,2.1646,0.7394000000000001,1.2204,2.3512000000000004,1.6986,1.5478,2.7423,0.3066
1257,0,2.9297000000000004,0.34249999999999997,0.1512,-0.4348,0.7433,-0.7154,0.8528,1.2276,0.5765,1.1331,2.4328000000000003,0.9557,-0.6838,1.4022,1.0502,1.97,1.0651,0.835,0.40049999999999997,0.2753,0.6314,0.6737,2.3089000000000004,1.7533,1.3182,1.0921,1.2923,-2.0976999999999997,0.26899999999999996,1.6197,1.0858,1.7684,0.8926999999999999,-0.47700000000000004,1.0317,0.7931,0.9448000000000001,0.5324,1.3825,-0.3045
1261,0,4.8505,1.1307,1.3142,0.7681,1.071,0.09649999999999997,1.096,1.6575,0.8569,1.4162,4.1989,1.8839,0.13249999999999995,1.6067,1.2782,2.1045,1.0488,1.8105,1.5694,0.4535,1.5937,1.1211,3.6979000000000006,2.4627,1.5216,1.3969,1.8579,-1.9509,0.13019999999999998,1.647,2.5438,2.5778999999999996,2.0380000000000003,0.7193,1.7183,2.064,1.5795,1.2719,2.0376000000000003,-0.23150000000000004
