protein,diff,p,q
LAYN,-0.06173912337662357,0.6556396536746179,0.8442443646215454
LBP,0.08319502164502168,0.37932461003532403,0.6588032294315223
LBR,0.650334090909091,2.6792802479470977e-09,3.3902753959953967e-08
LCAT,0.10113901515151513,0.13492189136396437,0.3499349498286316
LCN15,0.30145762987013003,0.4781637613617501,0.7391182836913778
LCN2,-0.10586325757575751,0.11315882547220937,0.30826024870015656
LCP1,-0.10818679653679653,0.5721696928603057,0.7952696206517705
LDLR,0.3005866883116884,0.04828144215012611,0.16165710813839476
LDLRAP1,1.1140489718614717,6.128822326055398e-08,6.093383557503377e-07
LECT2,-0.19795817099567092,0.6132778265119712,0.8204169734070901
LEFTY2,-0.0069501623376623245,0.989834284409546,0.9976846942514148
LEG1,-0.3811806277056278,0.026917078257816827,0.10074087035543994
LELP1,-0.2504555194805196,0.08697683507511222,0.256283557383622
LEO1,0.004140367965367944,0.27880829795740836,0.5635938139208193
LEP,0.07069913419913432,0.6013999509832053,0.8130860576891347
LEPR,-0.09530178571428566,0.2071711900648049,0.4676193355571335
LETM1,0.25615627705627686,0.009460368502053632,0.040845874640329044
LGALS1,0.11084020562770547,0.2497514728011071,0.5263327721684471
LGALS3,0.048170400432900384,0.5492826199977975,0.7847278095080948
LGALS3BP,0.2877864177489177,0.012972255614854492,0.05386065790088023
LGALS4,0.050526028138528245,0.56640564535146,0.7921548810346016
LGALS7_LGALS7B,0.001967748917748934,0.6495154691014562,0.840059166452901
LGALS8,0.5880650432900432,2.2528169285686053e-07,2.0450260503745446e-06
LGALS9,0.01386569264069254,0.7890343476731525,0.9144914346743159
LGMN,0.1535099025974025,0.09015571005400386,0.2629991422034464
LHB,-0.3160388528138528,0.11707610255038767,0.3159865630238072
LHPP,0.43711466450216485,0.0036231318438332285,0.01722018598296671
LIF,0.2850625,0.23942085271845726,0.5126938846124912
LIFR,0.066748051948052,0.2603895497108345,0.5382734468209117
LILRA2,0.07192386363636372,0.510349047054832,0.7587742952905768
LILRA3,-0.22611699134199117,0.3724538351656246,0.6566881157612621
LILRA4,-0.22695070346320356,0.022317051881682374,0.08594564249032619
LILRA5,0.05957705627705623,0.3567289478206971,0.6420718577825446
LILRA6,0.20172857142857145,0.674150223875841,0.8567570019082971
LILRB1,-0.04326888528138527,0.7180993768482874,0.8800857352316747
LILRB2,-0.06935735930735926,0.6102956161490289,0.8186776175940557
LILRB4,0.03028349567099542,0.7436500245368596,0.8930521864097125
LILRB5,0.05405773809523812,0.5721696928603057,0.7952696206517705
LIPF,0.20187927489177482,0.2902752795613569,0.5764094036398412
LMNB1,0.07212370129870127,0.5896270163130954,0.8046124036802885
LMNB2,0.03630746753246755,0.4370337230234913,0.7049942452525746
LMOD1,0.03210297619047653,0.782502831063937,0.9116204763650411
LMOD2,0.008731709956709854,0.5549618358542556,0.7878355736775081
LONP1,0.23248230519480528,0.002076141195144022,0.010554018632010394
LPA,-0.4050512987012991,0.3701814890108188,0.6549917952906003
LPCAT2,0.019006222943722978,0.4547704141551917,0.721266370361164
LPL,-0.47658149350649354,0.0073645297705315525,0.032764871414404456
LPO,-0.1435885822510824,0.39094229618433063,0.6699290000208457
LPP,0.33222570346320346,0.0033843461436947097,0.016243750046009257
LRCH4,0.758553246753247,1.6351985341891268e-07,1.5125586441249423e-06
LRFN2,-0.19039009740259744,0.03861011284257504,0.13532057534633915
LRG1,-0.06141120129870142,0.5324188901098932,0.770425948411494
LRIG1,0.11968170995670994,0.2676534317761413,0.5474814423244654
LRIG3,-0.009393073593073453,0.8550933837293739,0.9414078947800227
LRP1,0.05618771645021614,0.27133712314825253,0.5511594238793205
LRP11,0.04733284632034629,0.29027322655518306,0.5764094036398412
LRP2,-0.025588961038960967,0.8818321073900629,0.9564360853065506
LRP2BP,-0.4877608766233763,0.040234826151593114,0.14000761528703176
LRPAP1,0.26263133116883114,0.0023257049923550537,0.011580980737059321
LRRC25,0.003959090909090933,0.782502831063937,0.9116204763650411
LRRC37A2,0.11555254329004327,0.4320377368948195,0.700805789514096
LRRC38,-0.12750817099567102,0.40277763344582707,0.676620127909283
LRRC59,0.15877619047619046,0.0030740089802537857,0.014853604575409237
LRRFIP1,0.04715205627705625,0.524084654361659,0.7696159165342386
LRRN1,0.17518728354978355,0.10202429828522597,0.2870231221248465
LRTM1,-0.15837213203463205,0.9559695577023917,0.9898333561338607
LRTM2,-0.08351001082251089,0.23772681541341634,0.511313820054022
LSM1,0.4015757034632035,0.0005207530507874613,0.002927233014330287
LSM8,0.1107156926406927,0.42215143296961466,0.6947909000958241
LSP1,0.09341482683982688,0.4099775530100317,0.68399793804128
LTA,-0.09999518398268398,0.7054392605839808,0.8718811664638375
LTA4H,0.032884577922077995,0.5213238597585075,0.76689966888481
LTB,-0.07052521645021648,0.31414953249445055,0.6025322070087132
LTBP2,-0.033400865800865764,0.9627382556941022,0.9912236426184786
LTBP3,-0.2982805735930736,0.08542166818902228,0.2527201782555791
LTBR,-0.035028030303030255,0.7244588389762001,0.8826982852552868
LTO1,0.14336071428571412,0.21967216643148701,0.4864407139994216
LUZP2,0.024393452380952363,0.8153046147914853,0.9240540477066738
LXN,0.31653214285714215,0.1338186027803898,0.34738168377182893
LY6D,0.0229688852813853,0.7372345691475306,0.8897343706103352
LY75,0.09584242424242431,0.31414953249445055,0.6025322070087132
LY9,-0.12741650432900425,0.05124761400863193,0.1696452726469209
LY96,-0.17459345238095247,0.05024237850163885,0.16688462768214815
LYAR,0.3368747294372294,0.0007343768828154254,0.0040198195289690795
LYN,1.130317857142857,7.80877030195996e-12,2.0199146542149524e-10
LYPD1,-0.03424929653679665,0.7630017961330808,0.9003852442862315
LYPD3,-0.04358035714285714,0.3203123319216704,0.6083644874639653
LYPD8,-0.6787179653679655,0.3307637157371567,0.6185683564297563
LYPLA2,-0.13259182900432898,0.969509452914085,0.9939937323282604
LYSMD3,0.36374209956710013,0.02750858748709986,0.10216976013315489
LYVE1,0.03155568181818182,0.3909402798099644,0.6699290000208457
LYZL2,-0.06043501082251085,0.5436322184092088,0.7785580472367062
LZTFL1,1.2478046536796534,8.79098179773485e-12,2.1236396524610718e-10
M6PR,0.026315367965367875,0.31008327000867275,0.5990571039229018
MAD1L1,0.08327591991341991,0.2621905716638341,0.5416134565182947
MAEA,-0.02385779220779216,0.9424427302245387,0.9813894194678756
MAG,-0.04578322510822516,0.868443936316295,0.9493125003188221
MAGEA3,0.21897445887445893,0.8219060114431775,0.9257923974753017
MAGED1,0.1123983766233767,0.029350858866355578,0.10805108371077753
MAMDC2,-0.03973955627705636,0.6495154691014562,0.840059166452901
MAMDC4,0.0997194264069264,0.5606696010891176,0.7890405604157393
MAN1A2,0.09095752164502169,0.07515485848406672,0.23123963299887057
MAN2B2,-0.3175035173160173,0.06717660813249915,0.21001136653546393
MANEAL,-0.09573809523809523,0.44712086445544286,0.7133920779493774
MANF,2.713201785714286,6.075966140551809e-13,3.700010214340195e-11
MANSC1,-0.06299101731601736,0.5268564656123884,0.7696159165342386
MANSC4,0.11966109307359313,0.370183525768071,0.6549917952906003
MAP1LC3A,0.15533955627705612,0.1294670571292428,0.33971003234585634
MAP1LC3B2,-0.2844193181818182,0.2497514728011071,0.5263327721684471
MAP2,0.23655757575757588,0.0007120243552242201,0.0039268814911705575
MAP2K1,0.5532210497835497,2.9564645071288756e-07,2.6346785836395436e-06
MAP2K6,0.9452398809523808,2.2848539867124473e-10,3.5714589321713813e-09
MAP3K5,0.39087581168831165,0.0031602300359701847,0.015218043484581301
MAP4K5,1.2755805735930736,3.8130444865361765e-12,1.1984439821661553e-10
MAPK13,0.08508327922077932,0.8087163030849599,0.9215897676090986
MAPK9,0.3316109848484849,3.5901166945186076e-05,0.00023849797950177025
MAPKAPK2,0.7976598484848485,5.77470366955029e-10,8.274244522595833e-09
MAPRE3,-0.23952662337662342,0.7890343476731525,0.9144914346743159
MAPT,-0.3740159090909093,0.17819998408712456,0.4217640109203766
MARCO,-0.0733124458874459,0.3980187623232748,0.6728796080225172
MARS1,0.5497273809523808,1.2392340749163239e-07,1.1724034724665272e-06
MASP1,0.015128246753246671,0.646460800575992,0.8398244089260554
MATN2,-0.008037770562770608,0.9525864476051021,0.9887820264025972
MATN3,0.06961158008657997,0.20261968619062964,0.4634251508100239
MAVS,0.4707896103896103,1.0615479087723018e-06,8.865441535261253e-06
MAX,1.814211417748917,1.2203814620010572e-09,1.674730053253094e-08
MB,0.3236481060606062,0.010695812378074475,0.04537570331075717
MBL2,-0.38103046536796525,0.15235594365292643,0.3796559448401568
MCAM,-0.04007673160173153,0.7955798746984295,0.9169883519055687
MCEE,-0.217945183982684,0.6803652140431975,0.8590529246860762
MCEMP1,0.9205069264069266,2.7070140084548008e-08,2.77635156025031e-07
MCFD2,0.2999162337662337,0.0001212478832942449,0.000750863480654826
MCTS1,0.14470135281385282,0.002260861517117636,0.011374351488011789
MDGA1,-0.030999134199134137,0.782502831063937,0.9116204763650411
MDH1,0.3969378787878788,2.2788628034984803e-06,1.781047052039053e-05
MDK,0.14538160173160175,0.18940492958756383,0.44184406159971995
MDM1,0.08990649350649338,0.4270788882352503,0.6966247713792616
MECR,1.21633658008658,7.45903388622539e-09,8.483562665150512e-08
MED18,0.809289393939394,3.085532191765022e-11,6.583219413524934e-10
MED21,0.019180681818181833,0.6991393951411515,0.8685016795569851
MEGF10,0.023983225108225203,0.7630017961330808,0.9003852442862315
MEGF11,-0.008672943722943735,0.7759866120255959,0.9091017502808886
MEGF9,0.03597099567099582,0.5130777914786848,0.7624435101638005
MELTF,0.04745286796536795,0.4994962818960309,0.754536243918397
MENT,-0.022062608225108277,0.674150223875841,0.8567570019082971
MEP1A,-0.0367884740259741,0.7500833253020773,0.8952607431024793
MEP1B,-0.09291282467532502,0.6192553319982443,0.8235138013789209
MEPE,0.03978279220779221,0.8153046147914853,0.9240540477066738
MERTK,-0.013051028138528209,0.7244588389762001,0.8826982852552868
MESD,1.7112480519480513,4.73334435204177e-13,3.37452818073612e-11
MET,-0.054627489177489164,0.40277763344582707,0.676620127909283
METAP1,0.014258008658008636,0.8550933837293739,0.9414078947800227
METAP1D,0.7409588203463202,6.128822326055398e-08,6.093383557503377e-07
METAP2,0.9964674783549781,1.5074440858286547e-09,2.0212197536133748e-08
MFAP3,-0.23660719696969712,0.5268564656123884,0.7696159165342386
MFAP3L,-0.09484388528138532,0.9966113466412806,0.9993464721209137
MFAP4,-0.03493382034632034,0.8818321073900629,0.9564360853065506
MFAP5,-0.034267911255410954,0.5779614624377551,0.7980072530493899
MFGE8,0.2328086038961039,0.09509864283867331,0.27225595790151036
MGLL,1.9721471861471864,5.038788172192022e-13,3.42520414588774e-11
MGMT,2.070539826839827,1.9988432074970907e-11,4.529161779468214e-10
MIA,0.010831601731601692,0.9424424856820928,0.9813894194678756
MICALL2,0.26293647186147184,0.02086544195749373,0.08153701449432375
MICB_MICA,-0.38218728354978354,0.868443936316295,0.9493125003188221
MIF,1.0460579004329,3.2950528353451577e-09,4.081742898725016e-08
MILR1,-0.010518777056276907,0.8617637234313373,0.9459013757378142
MINDY1,0.9745616341991343,7.064649161299706e-08,6.929519965932564e-07
MINK1,2.072667316017316,1.6310926315880036e-12,6.810976803045335e-11
MITD1,1.4819331168831167,3.364597054142463e-11,6.925857175534098e-10
MKI67,-0.008134090909090966,0.4781637613617501,0.7391182836913778
MLLT1,-0.2115103896103896,0.3392801819297282,0.625688310271669
MLN,-4.962121212059856e-05,0.7372345691475306,0.8897343706103352
MME,0.25258436147186125,0.17012377809240953,0.4096187129192484
MMP1,0.8083336580086582,0.00010925056095496374,0.0006808942210476738
MMP10,-0.23870010822510832,0.14518773421096182,0.36743181566981936
MMP12,-0.00014155844155838704,0.6013999509832053,0.8130860576891347
MMP13,-0.24883771645021657,0.03861011284257504,0.13532057534633915
MMP15,-0.09577965367965366,0.2445458635268235,0.5194822377099602
MMP3,-0.016513257575757723,0.9289322965480106,0.9760133367396961
MMP7,0.049134307359306684,0.56640564535146,0.7921548810346016
MMP8,0.344336038961039,0.13828072522718826,0.354867919086103
MMP9,0.10423955627705572,0.6252581203826834,0.8258605900942537
MMUT,-0.13241244588744594,0.4887673037871233,0.7456507458088525
MN1,-0.1777144480519481,0.504907297688539,0.7583987827048302
MNAT1,0.05418701298701298,0.58378066754384,0.8003709621156868
MNDA,0.051860281385281315,0.969509452914085,0.9939937323282604
MOCS2,0.10920860389610404,0.09342742580051744,0.2690525769605049
MOG,0.037570508658008595,0.6373382289671439,0.8331572644324515
MORC3,0.013772997835497874,0.8087163030849599,0.9215897676090986
MORF4L1,0.1636891774891775,0.2164978042940242,0.4816005189889138
MORF4L2,-0.04481044372294357,0.8021407001503797,0.919113946260061
MORN4,-0.050477867965367934,0.5955002115928472,0.8080998693063566
MPHOSPH8,0.6774744047619048,2.3385651396137626e-08,2.432607082950544e-07
MPI,1.0437207792207794,1.3870553121850386e-10,2.357187603207481e-09
MPIG6B,2.0255114177489175,1.723658451912891e-13,2.86102024087109e-11
MPO,0.23627370129870134,0.08542166818902228,0.2527201782555791
MPRIP,0.3168037878787879,0.011504128734735776,0.04831403490177108
MRC1,-0.20094329004328998,0.04106869279552443,0.14223197753710654
MRI1,0.367996645021645,0.014950936755892104,0.06120670607489162
